time,vertical_lift_joint,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.008871,0.002510,-0.564011,-0.095671,0.001225,0.091160,0.564010,0.003286
0.035448,0.002494,-0.560297,-0.095041,0.001217,0.090560,0.560297,0.003264
0.080396,0.002403,-0.539933,-0.091587,0.001173,0.087269,0.539933,0.003146
0.147233,0.002191,-0.492178,-0.083486,0.001069,0.079550,0.492178,0.002867
0.244911,0.001875,-0.421163,-0.071440,0.000915,0.068072,0.421163,0.002454
0.389030,0.001554,-0.341566,-0.058122,0.000752,0.055400,0.341566,0.001971
0.604617,0.000788,-0.158692,-0.027366,0.000369,0.026120,0.158692,0.000878
1.031962,0.001102,-0.062268,-0.015009,0.000338,0.014654,0.062268,0.000017
1.814211,0.001274,-0.062096,-0.015836,0.000363,0.015475,0.062096,-0.000001
3.074720,0.001528,-0.029656,-0.011604,0.000264,0.011339,0.029656,0.000000
4.819518,0.001793,-0.026891,-0.012066,0.000274,0.011792,0.026891,0.000000
7.159145,0.002268,-0.014264,-0.010565,0.000238,0.010327,0.014264,0.000000
10.203355,0.002738,-0.012124,-0.011123,0.000249,0.010874,0.012124,0.000000
14.015632,0.003549,-0.006928,-0.010681,0.000234,0.010447,0.006928,0.000000
18.585427,0.005684,-0.006840,-0.014462,0.000310,0.014152,0.006840,0.000000
23.813418,0.005281,-0.003885,-0.011417,0.000238,0.011179,0.003885,0.000000
29.414301,0.006748,-0.002563,-0.011823,0.000232,0.011592,0.002563,0.000000
34.818157,0.007396,-0.002047,-0.011785,0.000221,0.011564,0.002047,0.000000
39.437767,0.009041,-0.001548,-0.012532,0.000214,0.012318,0.001548,0.000000
43.446407,0.013322,-0.001778,-0.017241,0.000274,0.016967,0.001778,0.000000
46.974656,0.010432,-0.001130,-0.012780,0.000189,0.012591,0.001130,0.000000
50.079989,0.012214,-0.000969,-0.013848,0.000175,0.013672,0.000969,0.000000
52.569205,0.011824,-0.000851,-0.013103,0.000156,0.012947,0.000851,0.000000
54.452844,0.013360,-0.000774,-0.014108,0.000141,0.013967,0.000774,0.000000
55.797348,0.012227,-0.000680,-0.012802,0.000123,0.012679,0.000680,0.000000
56.654947,0.002798,-0.000142,-0.002876,0.000025,0.002851,0.000142,0.000000
57.061337,0.004362,0.006711,-0.004457,0.000045,0.004412,-0.006711,-0.000000
57.254119,-0.006410,0.011739,0.006523,-0.000040,-0.006483,-0.011739,-0.000000
57.619240,-0.011421,0.005821,0.011654,-0.000091,-0.011564,-0.005821,-0.000000
58.493966,-0.010744,0.005955,0.011195,-0.000100,-0.011095,-0.005955,-0.000000
59.925593,-0.017580,0.010463,0.018581,-0.000179,-0.018403,-0.010463,-0.000000
61.983044,-0.011459,0.007571,0.012377,-0.000131,-0.012246,-0.007571,-0.000000
64.734142,-0.005989,0.004926,0.006784,-0.000084,-0.006701,-0.004926,-0.000000
68.081906,-0.008987,0.009493,0.010785,-0.000151,-0.010634,-0.009493,-0.000000
71.834253,-0.008368,0.010173,0.010384,-0.000154,-0.010230,-0.010173,-0.000000
75.364818,-0.004290,0.006746,0.005670,-0.000091,-0.005579,-0.006746,-0.000000
78.350548,-0.006160,0.012186,0.008623,-0.000147,-0.008476,-0.012186,-0.000000
80.678627,-0.005346,0.011433,0.007632,-0.000132,-0.007499,-0.011433,-0.000000
82.350481,-0.004796,0.012344,0.007144,-0.000128,-0.007017,-0.012344,-0.000000
83.450771,-0.003986,0.011803,0.005973,-0.000107,-0.005866,-0.011803,-0.000000
84.418745,-0.001264,0.013386,0.001924,-0.000035,-0.001889,-0.013386,-0.000000
85.795587,-0.001203,0.014685,0.001838,-0.000034,-0.001805,-0.014685,-0.000000
87.608747,-0.000785,0.014721,0.001210,-0.000022,-0.001188,-0.014721,-0.000000
89.862120,-0.000656,0.015718,0.001013,-0.000019,-0.000995,-0.015718,-0.000000
92.571202,-0.000037,0.015485,0.000057,-0.000001,-0.000056,-0.015485,-0.000000
95.771143,0.000284,0.016158,-0.000439,0.000008,0.000431,-0.016158,-0.000000
99.528767,0.001130,0.015346,-0.001731,0.000032,0.001699,-0.015346,-0.000000
103.601111,0.001563,0.014876,-0.002368,0.000043,0.002326,-0.014876,-0.000000
107.423431,0.002475,0.013647,-0.003639,0.000065,0.003574,-0.013647,0.000000
110.957380,0.002785,0.012693,-0.004032,0.000071,0.003961,-0.012693,0.000001
114.148662,0.003604,0.011560,-0.005028,0.000086,0.004942,-0.011560,-0.000000
116.925421,0.003682,0.010541,-0.005065,0.000086,0.004980,-0.010541,-0.000000
119.200031,0.004318,0.009752,-0.005748,0.000094,0.005654,-0.009752,-0.000000
120.884074,0.006764,0.014083,-0.008897,0.000144,0.008753,-0.014083,-0.000000
121.901398,0.003676,0.007568,-0.004800,0.000077,0.004723,-0.007568,-0.000000
122.273953,-0.006455,0.002891,0.008402,-0.000132,-0.008270,-0.002891,-0.000000
122.574553,-0.007687,0.002208,0.010018,-0.000158,-0.009860,-0.002208,-0.000000
123.417761,-0.007129,-0.000317,0.009556,-0.000156,-0.009400,0.000317,0.000000
124.884938,-0.007990,-0.000372,0.010840,-0.000179,-0.010661,0.000372,0.000000
127.011152,-0.007187,-0.000426,0.010424,-0.000183,-0.010242,0.000426,0.000000
129.843365,-0.007453,-0.000501,0.011199,-0.000201,-0.010998,0.000501,0.000000
133.437737,-0.006321,-0.000635,0.010671,-0.000204,-0.010467,0.000635,0.000000
137.856458,-0.006089,-0.000798,0.011101,-0.000219,-0.010882,0.000798,0.000000
143.165028,-0.004773,-0.001195,0.010571,-0.000220,-0.010351,0.001195,0.000000
148.702523,-0.004045,-0.001551,0.010199,-0.000218,-0.009981,0.001551,0.000000
153.678613,-0.002089,-0.001695,0.006639,-0.000146,-0.006493,0.001695,0.000000
158.031842,-0.002228,-0.004174,0.009169,-0.000205,-0.008964,0.004174,0.000000
161.738090,-0.002356,-0.008274,0.011676,-0.000263,-0.011413,0.008274,0.000000
164.787651,-0.001278,-0.007987,0.007506,-0.000170,-0.007337,0.007987,0.000000
167.172617,-0.000819,-0.014804,0.006376,-0.000145,-0.006231,0.014804,0.000000
